iter	Passed	Remaining
0	1	1076
1	1	910
2	2	833
3	3	792
4	3	695
5	4	694
6	4	694
7	5	695
8	6	688
9	6	688
10	7	687
11	8	686
12	9	685
13	9	685
14	10	684
15	11	678
16	11	678
17	12	676
18	13	676
19	13	676
20	14	675
21	15	675
22	15	674
23	16	673
24	17	674
25	17	672
26	18	673
27	19	672
28	20	672
29	20	672
30	21	670
31	22	666
32	22	667
33	23	666
34	24	666
35	24	666
36	25	665
37	26	664
38	26	664
39	27	663
40	28	662
41	29	662
42	29	661
43	30	661
44	31	660
45	31	659
46	32	660
47	33	659
48	33	658
49	34	657
50	34	649
51	35	648
52	36	648
53	36	647
54	37	646
55	38	646
56	39	645
57	39	645
58	40	645
59	40	641
60	41	640
61	42	636
62	42	636
63	43	636
64	44	634
65	44	634
66	45	633
67	46	633
68	46	632
69	47	632
70	48	632
71	49	631
72	49	631
73	50	630
74	50	625
75	51	624
76	52	623
77	52	623
78	53	622
79	54	622
80	54	621
81	55	621
82	56	621
83	56	621
84	57	621
85	58	620
86	59	620
87	59	620
88	60	619
89	61	619
90	61	618
91	62	618
92	63	618
93	64	617
94	64	617
95	65	616
96	66	616
97	66	615
98	67	615
99	68	614
100	68	613
101	69	613
102	70	612
103	71	611
104	71	610
105	72	610
106	73	609
107	73	608
108	74	608
109	75	607
110	75	607
111	76	606
112	77	606
113	77	605
114	78	605
115	79	604
116	79	603
117	80	603
118	81	602
119	82	602
120	82	601
121	83	601
122	84	600
123	84	600
124	85	599
125	86	598
126	87	598
127	87	598
128	88	598
129	89	597
130	90	597
131	90	596
132	91	596
133	92	595
134	92	595
135	93	594
136	94	594
137	95	593
138	95	593
139	96	592
140	97	591
141	97	591
142	98	590
143	99	589
144	99	588
145	100	588
146	101	587
147	101	586
148	102	586
149	103	585
150	104	585
151	104	584
152	105	584
153	106	583
154	106	582
155	107	581
156	108	581
157	108	580
158	109	580
159	110	580
160	111	582
161	112	581
162	113	580
163	113	580
164	114	579
165	115	578
166	115	578
167	116	577
168	117	576
169	118	576
170	118	575
171	119	574
172	120	574
173	120	573
174	121	573
175	122	572
176	123	572
177	123	571
178	124	570
179	125	569
180	125	569
181	126	568
182	127	567
183	127	567
184	128	566
185	129	565
186	129	564
187	130	564
188	131	563
189	132	562
190	132	561
191	133	561
192	134	560
193	134	559
194	135	558
195	136	558
196	136	557
197	137	556
198	138	556
199	138	555
200	139	554
201	140	554
202	140	553
203	141	552
204	142	552
205	143	551
206	143	551
207	144	550
208	145	549
209	145	548
210	146	548
211	147	547
212	148	546
213	148	546
214	149	545
215	150	544
216	150	543
217	151	543
218	152	542
219	152	541
220	153	540
221	154	540
222	154	539
223	155	538
224	156	537
225	156	537
226	157	536
227	158	535
228	158	534
229	159	534
230	160	533
231	160	532
232	161	531
233	162	531
234	162	530
235	163	529
236	164	528
237	164	527
238	165	527
239	166	526
240	166	525
241	167	524
242	168	524
243	168	523
244	169	522
245	170	521
246	170	521
247	171	520
248	172	519
249	173	519
250	173	518
251	174	517
252	175	517
253	175	516
254	176	515
255	177	514
256	177	514
257	178	513
258	179	512
259	179	512
260	180	511
261	181	510
262	181	509
263	182	509
264	183	508
265	183	507
266	184	506
267	185	506
268	185	505
269	186	504
270	187	503
271	187	503
272	188	502
273	189	501
274	190	501
275	190	500
276	191	499
277	192	499
278	192	498
279	193	497
280	194	497
281	195	497
282	195	496
283	196	496
284	197	495
285	198	494
286	198	494
287	199	493
288	200	492
289	200	491
290	201	491
291	202	490
292	203	489
293	203	489
294	204	488
295	205	488
296	205	487
297	206	486
298	207	485
299	207	485
300	208	484
301	209	483
302	209	482
303	210	482
304	211	481
305	211	480
306	212	479
307	213	479
308	213	478
309	214	477
310	215	476
311	215	476
312	216	475
313	217	474
314	217	473
315	218	473
316	219	473
317	220	473
318	221	472
319	222	471
320	222	471
321	223	470
322	224	469
323	224	469
324	225	468
325	226	467
326	227	467
327	227	466
328	228	465
329	229	465
330	229	464
331	230	463
332	231	462
333	231	462
334	232	461
335	233	460
336	234	460
337	234	459
338	235	459
339	236	458
340	236	457
341	237	457
342	238	456
343	239	455
344	239	455
345	240	454
346	241	453
347	241	453
348	242	452
349	243	451
350	243	451
351	244	450
352	245	449
353	246	449
354	246	448
355	247	447
356	248	447
357	249	446
358	250	446
359	250	445
360	251	445
361	252	445
362	253	444
363	254	444
364	254	443
365	255	442
366	256	442
367	257	441
368	257	440
369	258	440
370	259	439
371	260	439
372	260	438
373	261	437
374	262	437
375	263	436
376	263	435
377	264	435
378	265	434
379	265	433
380	266	433
381	267	432
382	268	432
383	268	431
384	269	430
385	270	429
386	270	429
387	271	428
388	272	427
389	272	426
390	273	426
391	274	425
392	274	424
393	275	424
394	276	423
395	277	422
396	277	421
397	278	421
398	279	420
399	280	420
400	280	419
401	281	418
402	282	417
403	283	418
404	284	417
405	285	417
406	285	416
407	286	415
408	287	414
409	287	414
410	288	413
411	289	412
412	289	411
413	290	411
414	291	410
415	291	409
416	292	408
417	293	408
418	293	407
419	294	407
420	295	406
421	296	405
422	296	405
423	297	404
424	298	403
425	298	402
426	299	402
427	300	401
428	301	400
429	301	399
430	302	399
431	303	398
432	303	397
433	304	396
434	305	396
435	305	395
436	306	394
437	307	393
438	307	393
439	308	392
440	309	391
441	310	391
442	310	390
443	311	390
444	312	389
445	312	388
446	313	387
447	314	387
448	314	386
449	315	385
450	316	384
451	316	384
452	317	383
453	318	382
454	318	381
455	319	381
456	320	380
457	320	379
458	321	378
459	322	378
460	322	377
461	323	376
462	324	375
463	324	375
464	325	374
465	326	373
466	326	373
467	327	372
468	328	371
469	328	370
470	329	370
471	330	369
472	330	368
473	331	367
474	332	367
475	332	366
476	333	365
477	334	364
478	334	364
479	335	363
480	336	362
481	336	362
482	337	361
483	338	360
484	338	359
485	339	359
486	340	358
487	341	357
488	341	357
489	342	356
490	343	355
491	343	354
492	344	354
493	345	353
494	345	352
495	346	352
496	347	351
497	347	350
498	348	349
499	349	349
500	349	348
501	350	347
502	351	346
503	351	346
504	352	345
505	353	344
506	354	344
507	354	343
508	355	343
509	356	342
510	357	341
511	357	341
512	358	340
513	359	339
514	360	339
515	360	338
